序号,项目,代码,预计募集（亿）,实际募集（亿）,发行时间,二级市场价格,底价,底价折扣,发行价,发行折扣,发行对象数量,解禁日期,解禁后收益,市场价格,解禁价格,价格不同
225.0,厦门象屿,600057.SH,15.0,14.9999998905,2015-12-22 11:30:00,13.05,11.1,0.8505747126436781,11.15,0.8544061302681992,7.0,2017-01-03 00:00:00,1.0358744394618835,13.08,11.55,True
226.0,荣盛发展,002146.SZ,51.3,50.31159984,2015-12-18 12:00:00,10.65,9.6,0.9014084507042253,9.6,0.9014084507042253,4.0,2017-01-03 00:00:00,0.84375,10.65,7.85,False
227.0,*ST美丽,000010.SZ,8.134,8.1339999976,2015-12-03 11:30:00,9.0,6.92,0.7688888888888888,7.12,0.7911111111111111,8.0,2017-02-07 00:00:00,1.0,9.02,7.12,True
228.0,中信重工,601608.SH,8.48,8.479999956,2015-12-24 12:00:00,7.23,4.15,0.5739972337482712,5.55,0.7676348547717842,7.0,2017-01-06 00:00:00,1.0365765765765766,7.23,5.73,False
229.0,兰石重装,603169.SH,12.5,12.4999998934,2015-12-23 12:00:00,18.75,15.71,0.8378666666666668,15.71,0.8378666666666668,5.0,2017-01-06 00:00:00,0.9452577975811585,18.75,13.36,False
230.0,正邦科技,002157.SZ,11.376736,11.376735867,2015-12-15 11:00:00,19.66,12.77,0.6495422177009156,17.3,0.8799593082400814,6.0,2017-01-05 00:00:00,1.1901751213872833,19.66,6.83,False
231.0,中国巨石,600176.SH,48.0,47.9999999772,2015-12-23 12:00:00,26.36,20.58,0.7807283763277693,20.61,0.7818664643399089,8.0,2017-01-09 00:00:00,1.0836487142164,26.39,10.01,True
232.0,君正集团,601216.SH,49.0,48.99999994,2015-12-21 11:00:00,11.85,9.19,0.7755274261603375,9.2,0.7763713080168776,7.0,2017-01-09 00:00:00,0.9869565217391305,11.84,4.53,True
233.0,三花智控,002050.SZ,4.0,3.9999999946,2015-12-15 12:00:00,9.67,6.52,0.6742502585315409,8.63,0.892450879007239,7.0,2017-01-11 00:00:00,1.1969872537659327,9.67,10.23,False
234.0,双环传动,002472.SZ,12.0,12.0,2015-12-16 12:00:00,27.49,18.53,0.674063295743907,24.0,0.8730447435431067,8.0,2017-01-12 00:00:00,0.9483333333333334,27.49,11.32,False
